"time_au","qm_adiabatic","qm_nonadiabatic","cmd","cmd_se","fssh","fssh_se"
"16600","1.00168991175555","0.242519774489156","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"16700","1.00710560096391","0.242510795392177","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"16800","1.00341217486177","0.240933657485963","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"16900","0.99554242748391","0.240291143322522","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"17000","0.995490021353217","0.241611804808805","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"17100","1.00365619447228","0.242597699317133","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"17200","1.00589714381803","0.241631663559279","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"17300","0.997756006782145","0.24055947533994","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"17400","0.994822354893967","0.241369437297964","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"17500","1.00291497324354","0.242421921731127","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"17600","1.00433896598754","0.241547167016078","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"17700","0.99596818687653","0.240756572932679","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"17800","0.998026043489061","0.241984061356882","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"17900","1.00602722784352","0.242302706682298","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"18000","1.00052657159229","0.240955851527309","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"18100","0.997338766368292","0.241552087909132","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"18200","1.00572030526577","0.242426782180495","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"18300","1.0018641865446","0.241004350226728","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"18400","0.996217509282634","0.241281370127752","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
"18500","1.00343453824723","0.242236251009133","0.732467393078312","0","0.0177366970341089","0.000804648865980943"
