time,pop1,pop2,pop3,pop1_stderr,pop2_stderr,pop3_stderr
1760.0,0.3315144375509632,0.6650949920533114,0.003390570395726115,0.025476955360690796,0.025267285696993082,0.0025573559711079543
1770.0,0.33038071930273866,0.665720407076632,0.003898873620629598,0.02545460369998724,0.025242908893794196,0.002748957357533351
1780.0,0.3292460308204926,0.6662387768189374,0.004515192360570129,0.02543659060166535,0.025223784138740105,0.0029721200098380665
1790.0,0.3280993727605657,0.6666608750228739,0.00523975221656041,0.02542172016373023,0.02520919924555904,0.0032263291355721997
1800.0,0.32693416916316287,0.6669974065149269,0.006068424321910143,0.025408800786438153,0.025198370313080472,0.0035095581457986304
1810.0,0.32574742513831106,0.6672591335050241,0.006993441356664622,0.025396876961174073,0.025190530631063458,0.0038189306777163955
1820.0,0.324538808692728,0.6674568393105832,0.008004351996688515,0.025385376139853966,0.02518499210765095,0.0041511217306303356
1830.0,0.3233098760672118,0.6676011501794133,0.009088973753375003,0.02537412659738203,0.02518117642671243,0.004502423454984875
1840.0,0.3220636436115169,0.6677022612165147,0.010234095171968716,0.025363250068529453,0.025178621088891847,0.004868638852232911
1850.0,0.32080461100256485,0.667769627233182,0.011425761764253113,0.02535298131629404,0.025176969175562305,0.005245054679474056
1860.0,0.3195391744206081,0.6678116799120329,0.012649145667359153,0.025343489640625386,0.025175951619326533,0.0056266555496950355
1870.0,0.3182761865837467,0.6678356204116207,0.01388819300463298,0.02533476254124047,0.025175368475545017,0.006008560073219788
1880.0,0.3170273016506101,0.6678473161843507,0.015125382165039199,0.025326570214262448,0.025175072751744847,0.006386513420917976
1890.0,0.31580675645970313,0.6678513081503497,0.016341935389947368,0.025318487862815847,0.025174957880466767,0.006757240877212642
1900.0,0.31463039985186547,0.6678509145511078,0.017518685597026608,0.025309935673839212,0.02517494841495109,0.007118554002795849
1910.0,0.3135140238280887,0.667848404276255,0.01863757189565642,0.02530020994463347,0.025174992976672292,0.007469237796498224
1920.0,0.312471258196651,0.6678452067109094,0.01968353509243947,0.025288506499030916,0.025175058583148134,0.007808844323148343
1930.0,0.31151137120555694,0.6678421267219379,0.020646502072505058,0.02527395419770662,0.025175125851554635,0.008137523202666148
1940.0,0.3106372676185051,0.6678395402805218,0.021523192100972997,0.025255671592587136,0.02517518491531666,0.008455953295113226
1950.0,0.30984387597232127,0.66783755564197,0.02231856838570855,0.02523284533680087,0.025175232072513928,0.008765371714742438
1960.0,0.30911706608479156,0.6678361343379045,0.02304679957730367,0.025204822823163785,0.02517526720906234,0.009067673499869608
1970.0,0.30843326179943614,0.6678351736302442,0.023731564570319143,0.025171217833315673,0.02517529197640375,0.00936556449287514
1980.0,0.30775994726932926,0.6678345567053143,0.024405496025356466,0.025132034745901338,0.02517530862601262,0.009662744617586292
1990.0,0.30705721994100615,0.6678341788184401,0.025108601240553634,0.02508781028628844,0.025175319354329335,0.009964055090010597
2000.0,0.30628039229463094,0.6678339574635598,0.025885650241809152,0.025039750127287062,0.0251753260019944,0.01027546620582564
2010.0,0.30538343635683274,0.667833833268998,0.02678273037416923,0.024989812766735578,0.025175329970906615,0.010603764646544257
2020.0,0.30432287645293893,0.6678337664695537,0.027843357077507614,0.024940680849742766,0.02517533225622786,0.010955856661922326
2030.0,0.30306162372016365,0.6678337320205774,0.02910464425925888,0.02489556828514915,0.02517533352528959,0.011337724966593013
2040.0,0.30157223992415955,0.667833714997311,0.030594045078529763,0.02485783792396855,0.025175334204176694,0.011753212756337533
2050.0,0.2998392196785709,0.6678337069509045,0.03232707337052493,0.024830447299277237,0.025175334553171825,0.012202907195491292
2060.0,0.2978600495159228,0.6678337033263607,0.03430624715771685,0.02481530291708313,0.02517533472481494,0.012683431218857443
2070.0,0.295644968696302,0.6678337017815316,0.03652132952216645,0.024812680933434923,0.025175334804968995,0.013187413663050186
2080.0,0.29321547925400515,0.6678337011673453,0.03895081957864963,0.024820926392690255,0.025175334840036607,0.013704278307580642
2090.0,0.29060176710732516,0.6678337009464705,0.04156453194620464,0.024836615837897768,0.025175334854043212,0.014221776717172552
2100.0,0.28783936238817387,0.6678337008802043,0.04432693673162202,0.02485522910945178,0.025175334858853687,0.014727946315568312
2110.0,0.28496556087889074,0.6678337008685699,0.0472007382525392,0.024872169733583298,0.025175334860011986,0.015213005844067805
2120.0,0.28201621873814614,0.6678337008727298,0.05015008038912416,0.024883805659569654,0.0251753348599336,0.01567069177422993
2130.0,0.2790234058768646,0.667833700879213,0.05314289324392215,0.0248881722417096,0.025175334859571873,0.01609870792357393
2140.0,0.276014097500648,0.6678337008842843,0.05615220161506798,0.024885109827855315,0.02517533485924449,0.01649824324567903
2150.0,0.27300976963755696,0.667833700887519,0.05915652947492393,0.024875832173748082,0.025175334859020102,0.01687279905519116
2160.0,0.27002659221922687,0.6678337008893694,0.06213970689140398,0.024862130161524196,0.02517533485888576,0.01722675005637574
2170.0,0.26707589554491507,0.6678337008903515,0.06509040356473354,0.02484552136433587,0.02517533485881221,0.017564084784560445
2180.0,0.2641646398028224,0.6678337008908427,0.068001659306335,0.024826632671263452,0.025175334858774597,0.017887639811905602
2190.0,0.26129568305875006,0.6678337008910761,0.07087061605017426,0.024804981064793112,0.025175334858756462,0.01819892617922125
2200.0,0.2584677336597196,0.6678337008911814,0.0736985654490989,0.02477915934444321,0.025175334858748177,0.018498438598025618
2210.0,0.25567501527651676,0.667833700891227,0.07649128383225644,0.024747301454287617,0.025175334858744566,0.018786211660612555
2220.0,0.2529068348927108,0.6678337008912454,0.07925946421604366,0.02470763438536374,0.025175334858743098,0.01906236791289293
2230.0,0.25014734095370317,0.6678337008912525,0.0820189581550442,0.024658929093297737,0.025175334858742533,0.019327469766339003
2240.0,0.24737572944154654,0.6678337008912552,0.08479056966719846,0.024600727891493274,0.02517533485874231,0.01958259827311686
2250.0,0.2445670281502245,0.667833700891256,0.08759927095851948,0.0245333215130067,0.02517533485874224,0.01982919216272882
2260.0,0.24169346522556487,0.6678337008912562,0.09047283388317898,0.02445753792734962,0.025175334858742238,0.020068754399476533
2270.0,0.23872638608978894,0.6678337008912563,0.09343991301895467,0.02437445443023165,0.02517533485874223,0.02030255308067391
2280.0,0.23563869172021668,0.6678337008912563,0.09652760738852696,0.024285143007321847,0.02517533485874223,0.0205314149489957
2290.0,0.23240771019074807,0.6678337008912563,0.0997585889179958,0.024190520247167235,0.02517533485874223,0.02075565738028382
2300.0,0.22901820713768908,0.6678337008912563,0.10314809197105464,0.024091323198054026,0.02517533485874223,0.02097515485355731
2310.0,0.22546497641749658,0.6678337008912563,0.10670132269124721,0.023988191504820216,0.02517533485874223,0.021189503274262816
2320.0,0.2217543367954911,0.6678337008912564,0.11041196231325263,0.023881809542955074,0.02517533485874222,0.021398230183495605
2330.0,0.21790403924860868,0.6678337008912563,0.11426225986013513,0.023773047640744727,0.02517533485874223,0.02160099423454238
2340.0,0.21394150474114917,0.6678337008912563,0.11822479436759449,0.023663039082947757,0.02517533485874223,0.021797720253059014
2350.0,0.20990074858225852,0.6678337008912563,0.12226555052648531,0.023553144596200705,0.02517533485874223,0.021988630245761486
2360.0,0.2058186078553397,0.6678337008912563,0.12634769125340395,0.02344479087542163,0.02517533485874223,0.022174159893623698
2370.0,0.2017309235695027,0.6678337008912563,0.1304353755392408,0.023339216609499388,0.02517533485874223,0.022354790182196292
2380.0,0.19766922003656556,0.6678337008912563,0.13449707907217803,0.023237201290783393,0.02517533485874223,0.022530860074084186
2390.0,0.19365827854424603,0.6678337008912563,0.13850802056449762,0.023138870408798876,0.025175334858742238,0.02270243964955545
2400.0,0.18971487518218033,0.6678337008912563,0.14245142392656343,0.023043653986255748,0.02517533485874223,0.022869321912137978
2410.0,0.18584783107149108,0.6678337008912563,0.14631846803725276,0.02295042431558652,0.025175334858742238,0.02303113850214015
2420.0,0.18205936390145838,0.6678337008912563,0.1501069352072854,0.02285776823292859,0.025175334858742238,0.023187539928921776
2430.0,0.17834751230222531,0.6678337008912563,0.15381878680651853,0.022764288811067363,0.025175334858742238,0.023338336827667554
2440.0,0.17470916895493038,0.6678337008912563,0.15745713015381335,0.022668816126556125,0.02517533485874223,0.023483506108321894
