time,pmatrix_tau_abs_rho01,pmatrix_inf_abs_rho01,ehrenfest_abs_rho01
462.0,0.004926398049259718,0.4999999999999969,0.5000000000000354
464.0,0.004828848832144569,0.49999999999999684,0.5000000000000356
466.0,0.004733231218944618,0.49999999999999684,0.5000000000000357
468.0,0.004639506961339731,0.49999999999999684,0.5000000000000357
470.0,0.004547638568377253,0.4999999999999968,0.5000000000000361
472.0,0.004457589291475131,0.4999999999999968,0.5000000000000361
474.0,0.0043693231097219915,0.4999999999999967,0.5000000000000362
476.0,0.004282804715468291,0.4999999999999967,0.5000000000000363
478.0,0.004197999500202792,0.4999999999999967,0.5000000000000364
480.0,0.004114873540708694,0.4999999999999967,0.5000000000000365
482.0,0.00403339358549389,0.4999999999999967,0.5000000000000366
484.0,0.003953527041489936,0.49999999999999667,0.5000000000000369
486.0,0.0038752419610143802,0.49999999999999667,0.500000000000037
488.0,0.0037985070289912695,0.49999999999999667,0.5000000000000371
490.0,0.003723291550424698,0.4999999999999967,0.5000000000000373
492.0,0.0036495654381204037,0.4999999999999967,0.5000000000000373
494.0,0.0035772992006504836,0.4999999999999967,0.5000000000000375
496.0,0.0035064639305564353,0.4999999999999967,0.5000000000000376
498.0,0.003437031292785785,0.4999999999999967,0.5000000000000377
500.0,0.0033689735133576883,0.49999999999999667,0.500000000000038
502.0,0.0033022633682529695,0.49999999999999667,0.5000000000000382
504.0,0.003236874172524151,0.49999999999999667,0.5000000000000383
506.0,0.003172779769621116,0.49999999999999667,0.5000000000000384
508.0,0.003109954520928142,0.4999999999999966,0.5000000000000385
510.0,0.0030483732955081115,0.4999999999999966,0.5000000000000386
512.0,0.0029880114600498034,0.49999999999999656,0.5000000000000387
514.0,0.002928844869014239,0.49999999999999656,0.5000000000000389
516.0,0.0028708498549761437,0.49999999999999656,0.5000000000000391
518.0,0.0028140032191566636,0.49999999999999656,0.5000000000000392
520.0,0.0027582822221435435,0.49999999999999656,0.5000000000000395
522.0,0.002703664574795057,0.49999999999999656,0.5000000000000396
524.0,0.0026501284293240566,0.4999999999999965,0.5000000000000396
526.0,0.002597652370558564,0.49999999999999645,0.5000000000000399
528.0,0.002546215407375417,0.49999999999999645,0.5000000000000401
530.0,0.0024957969643035404,0.49999999999999645,0.5000000000000401
532.0,0.0024463768732934845,0.49999999999999645,0.5000000000000402
534.0,0.002397935365649934,0.49999999999999645,0.5000000000000405
536.0,0.002350453064123968,0.49999999999999645,0.5000000000000406
538.0,0.002303910975161902,0.49999999999999645,0.5000000000000407
540.0,0.0022582904813076106,0.49999999999999645,0.5000000000000409
542.0,0.002213573333755302,0.49999999999999645,0.5000000000000411
544.0,0.0021697416450497473,0.4999999999999964,0.5000000000000412
546.0,0.002126777881931064,0.4999999999999964,0.5000000000000413
548.0,0.0020846648583211736,0.49999999999999634,0.5000000000000414
550.0,0.0020433857284491465,0.49999999999999634,0.5000000000000416
552.0,0.002002923980112664,0.49999999999999634,0.5000000000000419
554.0,0.001963263428072922,0.4999999999999963,0.500000000000042
556.0,0.0019243882075803153,0.4999999999999963,0.5000000000000421
558.0,0.0018862827680283297,0.4999999999999963,0.5000000000000422
560.0,0.0018489318667330903,0.4999999999999962,0.5000000000000423
562.0,0.0018123205628360842,0.4999999999999962,0.5000000000000426
564.0,0.0017764342113276198,0.4999999999999962,0.5000000000000429
566.0,0.0017412584571886262,0.4999999999999962,0.5000000000000429
568.0,0.0017067792296484548,0.4999999999999962,0.500000000000043
570.0,0.0016729827365563822,0.4999999999999962,0.5000000000000432
572.0,0.0016398554588645687,0.4999999999999962,0.5000000000000433
574.0,0.0016073841452202559,0.49999999999999617,0.5000000000000435
576.0,0.0015755558066650507,0.49999999999999617,0.5000000000000437
578.0,0.0015443577114391688,0.4999999999999961,0.5000000000000439
580.0,0.00151377737988856,0.4999999999999961,0.5000000000000439
582.0,0.0014838025794728807,0.4999999999999961,0.5000000000000441
584.0,0.0014544213198723155,0.4999999999999961,0.5000000000000441
586.0,0.0014256218481912874,0.4999999999999961,0.5000000000000443
588.0,0.0013973926442571454,0.49999999999999606,0.5000000000000443
590.0,0.0013697224160119396,0.49999999999999606,0.5000000000000445
592.0,0.0013426000949954486,0.49999999999999606,0.5000000000000447
594.0,0.0013160148319176484,0.49999999999999606,0.500000000000045
596.0,0.0012899559923188503,0.49999999999999606,0.5000000000000451
598.0,0.0012644131523157755,0.499999999999996,0.5000000000000451
600.0,0.0012393760944318644,0.499999999999996,0.5000000000000452
602.0,0.0012148348035101479,0.499999999999996,0.5000000000000454
604.0,0.0011907794627070516,0.49999999999999595,0.5000000000000455
606.0,0.001167200449565528,0.49999999999999595,0.5000000000000459
608.0,0.0011440883321659448,0.49999999999999595,0.500000000000046
610.0,0.001121433865353192,0.49999999999999595,0.5000000000000461
612.0,0.0010992279870384954,0.4999999999999959,0.5000000000000462
614.0,0.0010774618145744615,0.49999999999999595,0.5000000000000463
616.0,0.0010561266412018996,0.4999999999999959,0.5000000000000463
618.0,0.0010352139325670016,0.4999999999999959,0.5000000000000465
620.0,0.0010147153233074878,0.4999999999999959,0.5000000000000466
622.0,0.0009946226137063493,0.49999999999999584,0.5000000000000469
624.0,0.0009749277664118523,0.49999999999999584,0.5000000000000469
626.0,0.0009556229032224906,0.4999999999999958,0.5000000000000471
628.0,0.0009367003019355993,0.4999999999999958,0.5000000000000472
630.0,0.0009181523932583716,0.4999999999999957,0.5000000000000473
632.0,0.00089997175778004,0.4999999999999957,0.5000000000000474
634.0,0.0008821511230040133,0.4999999999999957,0.5000000000000475
636.0,0.0008646833604387811,0.49999999999999567,0.5000000000000476
638.0,0.0008475614827464223,0.49999999999999567,0.500000000000048
640.0,0.0008307786409475765,0.49999999999999567,0.5000000000000481
642.0,0.0008143281216817608,0.49999999999999567,0.5000000000000482
644.0,0.0007982033445219365,0.49999999999999567,0.5000000000000484
646.0,0.0007823978593422504,0.49999999999999567,0.5000000000000486
648.0,0.0007669053437378983,0.4999999999999956,0.5000000000000487
650.0,0.0007517196004960792,0.4999999999999956,0.500000000000049
652.0,0.0007368345551170269,0.4999999999999956,0.5000000000000491
654.0,0.0007222442533841297,0.4999999999999956,0.5000000000000492
656.0,0.000707942858982164,0.49999999999999556,0.5000000000000493
658.0,0.0006939246511626907,0.49999999999999556,0.5000000000000496
660.0,0.0006801840224556792,0.4999999999999955,0.5000000000000498
662.0,0.0006667154764264449,0.4999999999999955,0.50000000000005
664.0,0.0006535136254770019,0.4999999999999955,0.5000000000000503
666.0,0.000640573188690952,0.49999999999999545,0.5000000000000505
668.0,0.0006278889897210481,0.49999999999999545,0.5000000000000506
670.0,0.0006154559547185853,0.49999999999999545,0.5000000000000508
672.0,0.000603269110303795,0.49999999999999545,0.500000000000051
674.0,0.0005913235815764256,0.4999999999999954,0.5000000000000513
676.0,0.0005796145901657186,0.4999999999999954,0.5000000000000514
678.0,0.000568137452318995,0.49999999999999534,0.5000000000000514
680.0,0.0005568875770280932,0.4999999999999954,0.5000000000000516
682.0,0.000545860464192904,0.49999999999999534,0.5000000000000517
684.0,0.0005350517028212703,0.49999999999999534,0.5000000000000518
686.0,0.0005244569692645319,0.49999999999999534,0.500000000000052
688.0,0.000514072025488008,0.49999999999999534,0.5000000000000522
690.0,0.000503892717375727,0.4999999999999953,0.5000000000000524
692.0,0.000493914973068725,0.4999999999999953,0.5000000000000526
694.0,0.0004841348013362471,0.4999999999999953,0.5000000000000528
696.0,0.0004745482899792027,0.4999999999999952,0.5000000000000531
698.0,0.0004651516042652336,0.4999999999999952,0.5000000000000532
700.0,0.0004559409853947694,0.49999999999999517,0.5000000000000533
702.0,0.00044691274899745823,0.49999999999999517,0.5000000000000535
704.0,0.00043806328365836886,0.49999999999999517,0.5000000000000537
706.0,0.0004293890494733771,0.49999999999999517,0.5000000000000538
708.0,0.0004208865766331565,0.4999999999999951,0.500000000000054
710.0,0.00041255246403520897,0.4999999999999951,0.5000000000000541
712.0,0.0004043833779233776,0.4999999999999951,0.5000000000000542
714.0,0.00039637605055430053,0.4999999999999951,0.5000000000000543
716.0,0.00038852727889026966,0.49999999999999506,0.5000000000000544
718.0,0.0003808339233179726,0.49999999999999506,0.5000000000000545
720.0,0.0003732929063926063,0.49999999999999506,0.5000000000000546
722.0,0.0003659012116068572,0.499999999999995,0.5000000000000548
724.0,0.0003586558821842587,0.499999999999995,0.5000000000000548
726.0,0.00035155401989644063,0.49999999999999506,0.500000000000055
728.0,0.00034459278390379996,0.499999999999995,0.5000000000000551
730.0,0.00033776938961912643,0.49999999999999495,0.5000000000000553
732.0,0.0003310811075937308,0.49999999999999495,0.5000000000000555
734.0,0.0003245252624256291,0.4999999999999949,0.5000000000000556
736.0,0.0003180992316893459,0.4999999999999949,0.5000000000000557
738.0,0.00031180044488690937,0.4999999999999949,0.5000000000000561
740.0,0.00030562638241961765,0.4999999999999949,0.5000000000000562
742.0,0.0002995745745801661,0.49999999999999484,0.5000000000000564
744.0,0.0002936426005647309,0.4999999999999949,0.5000000000000565
746.0,0.0002878280875046158,0.49999999999999484,0.5000000000000567
748.0,0.00028212870951707273,0.49999999999999484,0.5000000000000567
750.0,0.00027654218677491764,0.4999999999999948,0.500000000000057
752.0,0.00027106628459456936,0.4999999999999948,0.500000000000057
754.0,0.00026569881254214634,0.4999999999999948,0.5000000000000572
756.0,0.00026043762355726396,0.4999999999999947,0.5000000000000573
758.0,0.0002552806130941816,0.4999999999999947,0.5000000000000574
760.0,0.00025022571827995626,0.49999999999999467,0.5000000000000576
762.0,0.00024527091708926614,0.49999999999999467,0.5000000000000578
764.0,0.00024041422753557325,0.49999999999999467,0.5000000000000578
766.0,0.00023565370687830264,0.49999999999999467,0.500000000000058
768.0,0.00023098745084572,0.4999999999999946,0.5000000000000581
770.0,0.0002264135928731979,0.4999999999999946,0.5000000000000582
772.0,0.00022193030335656462,0.4999999999999946,0.5000000000000583
774.0,0.00021753578892023853,0.49999999999999456,0.5000000000000583
776.0,0.00021322829169985366,0.49999999999999456,0.5000000000000584
778.0,0.0002090060886390906,0.49999999999999456,0.5000000000000586
780.0,0.00020486749080043107,0.4999999999999945,0.5000000000000588
782.0,0.00020081084268956027,0.4999999999999945,0.500000000000059
784.0,0.0001968345215931471,0.4999999999999945,0.5000000000000591
786.0,0.00019293693692973732,0.4999999999999945,0.5000000000000592
788.0,0.00018911652961349965,0.49999999999999445,0.5000000000000593
790.0,0.0001853717714305706,0.4999999999999945,0.5000000000000594
792.0,0.00018170116442774877,0.49999999999999445,0.5000000000000596
794.0,0.00017810324031329328,0.49999999999999445,0.5000000000000597
796.0,0.0001745765598695878,0.49999999999999445,0.50000000000006
798.0,0.0001711197123774341,0.4999999999999944,0.5000000000000602
800.0,0.0001677313150517457,0.49999999999999434,0.5000000000000604
