time,pmatrix_db_low,pmatrix_db_high,pmatrix_no_db_low,pmatrix_no_db_high,fssh_low,fssh_high,ehrenfest_low,ehrenfest_high,boltzmann_high
1916.0,0.7303763753626312,0.2696236246373687,0.4819893162514833,0.5180106837485168,0.65625,0.34375,0.6620536779725974,0.3379463220274187,0.10859564580706031
1918.0,0.7306804375209809,0.2693195624790191,0.4820559082385169,0.5179440917614831,0.65625,0.34375,0.664745892172768,0.3352541078272485,0.10859564580706031
1920.0,0.7309839255316304,0.2690160744683696,0.48212225401022035,0.5178777459897796,0.65625,0.34375,0.6674169279917822,0.33258307200823445,0.10859564580706031
1922.0,0.7312868404787248,0.26871315952127517,0.4821883544769576,0.5178116455230424,0.65625,0.34375,0.6700665717920072,0.3299334282080097,0.10859564580706031
1924.0,0.731589183444362,0.268410816555638,0.4822542105457265,0.5177457894542735,0.65625,0.34375,0.6726946116471141,0.32730538835290307,0.10859564580706031
1926.0,0.7318909555085963,0.26810904449140366,0.4823198231201708,0.5176801768798291,0.65625,0.34375,0.6753008373590207,0.3246991626409963,0.10859564580706031
1928.0,0.7321921577494426,0.2678078422505574,0.48238519310059325,0.5176148068994069,0.65625,0.34375,0.6778850404746966,0.32211495952532065,0.10859564580706031
1930.0,0.7324927912428799,0.26750720875712014,0.482450321383967,0.517549678616033,0.65625,0.34375,0.680447014302828,0.31955298569718893,0.10859564580706031
1932.0,0.7327928570628556,0.2672071429371445,0.48251520886394905,0.517484791136051,0.65625,0.34375,0.682986553930343,0.31701344606967413,0.10859564580706031
1934.0,0.7330923562812888,0.2669076437187113,0.48257985643089163,0.5174201435691084,0.65625,0.34375,0.6855034562387926,0.31449654376122455,0.10859564580706031
1936.0,0.7333912899680747,0.2666087100319254,0.4826442649718547,0.5173557350281452,0.65625,0.34375,0.6879975199205896,0.31200248007942777,0.10859564580706031
1938.0,0.733689659191088,0.26631034080891214,0.48270843537061825,0.5172915646293818,0.65625,0.34375,0.6904685454951022,0.30953145450491515,0.10859564580706031
1940.0,0.7339874650161867,0.26601253498381333,0.4827723685076943,0.5172276314923058,0.65625,0.34375,0.6929163353246012,0.3070836646754159,0.10859564580706031
1942.0,0.7342847085072165,0.26571529149278356,0.48283606526033895,0.517163934739661,0.65625,0.34375,0.6953406936300612,0.304659306369956,0.10859564580706031
1944.0,0.7345813907260137,0.2654186092739863,0.4828995265025647,0.5171004734974353,0.65625,0.34375,0.6977414265068105,0.30225857349320695,0.10859564580706031
1946.0,0.7348775127324098,0.2651224872675902,0.482962753105152,0.517037246894848,0.65625,0.34375,0.7001183419400328,0.29988165805998457,0.10859564580706031
