time,scaled_ground_population
9.115646258503400895e+04,7.226153846153847704e-01
9.138321995464853535e+04,7.226153846153847704e-01
9.160997732426303264e+04,7.226153846153847704e-01
9.183673469387755904e+04,7.226153846153847704e-01
9.206349206349205633e+04,7.226153846153847704e-01
9.229024943310656818e+04,7.226153846153847704e-01
9.251700680272109457e+04,7.226153846153847704e-01
9.274376417233559187e+04,7.226153846153847704e-01
9.297052154195011826e+04,7.226153846153847704e-01
9.319727891156463011e+04,7.226153846153847704e-01
9.342403628117914195e+04,7.226153846153847704e-01
9.365079365079365380e+04,7.226153846153847704e-01
9.387755102040816564e+04,7.226153846153847704e-01
9.410430839002267749e+04,7.226153846153847704e-01
9.433106575963718933e+04,7.226153846153847704e-01
9.455782312925170118e+04,7.226153846153847704e-01
9.478458049886621302e+04,7.226153846153847704e-01
9.501133786848072486e+04,7.226153846153847704e-01
9.523809523809523671e+04,7.226153846153847704e-01
9.546485260770974855e+04,7.226153846153847704e-01
9.569160997732426040e+04,7.226153846153847704e-01
9.591836734693877224e+04,7.226153846153847704e-01
9.614512471655328409e+04,7.226153846153847704e-01
9.637188208616781048e+04,7.226153846153847704e-01
9.659863945578230778e+04,7.226153846153847704e-01
9.682539682539681962e+04,7.226153846153847704e-01
9.705215419501134602e+04,7.226153846153847704e-01
9.727891156462584331e+04,7.226153846153847704e-01
9.750566893424036971e+04,7.226153846153847704e-01
9.773242630385488155e+04,7.226153846153847704e-01
9.795918367346937885e+04,7.226153846153847704e-01
9.818594104308390524e+04,7.226153846153847704e-01
9.841269841269840254e+04,7.226153846153847704e-01
9.863945578231292893e+04,7.226153846153847704e-01
9.886621315192744078e+04,7.226153846153847704e-01
9.909297052154195262e+04,7.226153846153847704e-01
9.931972789115646447e+04,7.226153846153847704e-01
9.954648526077097631e+04,7.226153846153847704e-01
9.977324263038548816e+04,7.226153846153847704e-01
1.000000000000000000e+05,7.226153846153847704e-01
1.002267573696145118e+05,7.226153846153847704e-01
1.004535147392290382e+05,7.226153846153847704e-01
1.006802721088435355e+05,7.226153846153847704e-01
1.009070294784580474e+05,7.226153846153847704e-01
1.011337868480725738e+05,7.226153846153847704e-01
1.013605442176870711e+05,7.226153846153846594e-01
1.015873015873015829e+05,7.226153846153846594e-01
1.018140589569161093e+05,7.226153846153846594e-01
1.020408163265306212e+05,7.215384615384614619e-01
1.022675736961451184e+05,7.215384615384614619e-01
