wavenumber_cm-1,n,k,alpha_cm-1,nalpha_cm-1
382.79843,1.5755112,0.34374282,1653.5359,2605.1644
383.76266,1.5751401,0.34422252,1660.0144,2614.7553
384.72689,1.5747811,0.34470689,1666.5271,2624.4153
385.69113,1.5744113,0.34519625,1673.0756,2634.1092
386.65536,1.5740614,0.345687,1679.6429,2643.861
387.61959,1.5736902,0.34618711,1686.2676,2653.6627
388.58383,1.5733194,0.34669155,1692.9255,2663.5126
389.54806,1.572938,0.34720027,1699.6166,2673.3915
390.5123,1.5725558,0.34770957,1706.3229,2683.2879
391.47653,1.5721778,0.34824058,1713.1484,2693.3738
392.44076,1.5717591,0.34876841,1719.971,2703.3801
393.405,1.571334,0.34929067,1726.7788,2713.3463
394.36923,1.570893,0.34980372,1733.5537,2723.2275
395.33346,1.5704662,0.35030866,1740.3008,2733.0835
396.2977,1.5700229,0.35081112,1747.0477,2742.905
397.26193,1.5695753,0.35131294,1753.8036,2752.7268
398.22616,1.5691411,0.35181057,1760.5507,2762.5526
399.1904,1.5686905,0.35231259,1767.3319,2772.3968
400.15463,1.5682312,0.35281336,1774.119,2782.2288
401.11887,1.5677829,0.35331237,1780.9093,2792.0791
402.0831,1.5673118,0.35380596,1787.6843,2801.8586
403.04733,1.566848,0.35429093,1794.4277,2811.5954
404.01157,1.5663872,0.35477778,1801.1923,2821.3645
404.9758,1.5659413,0.35527131,1808.0027,2831.2261
405.94003,1.5654813,0.35576788,1814.8406,2841.099
406.90427,1.5650359,0.35628957,1821.8189,2851.2121
407.8685,1.5645474,0.35681409,1828.8245,2861.2826
408.83273,1.5640477,0.35733241,1835.8108,2871.2957
409.79697,1.5635504,0.35784101,1842.7598,2881.2477
410.7612,1.5630379,0.3583414,1849.6786,2891.1176
411.72544,1.5625228,0.35883665,1856.5829,2900.9531
412.68967,1.5620235,0.35933107,1863.495,2910.823
413.6539,1.5615004,0.35982147,1870.3981,2920.6275
414.61814,1.5609998,0.36031047,1877.3059,2930.474
415.58237,1.5604788,0.36079901,1884.2231,2940.2902
416.5466,1.5599781,0.3612912,1891.1712,2950.1857
417.51084,1.5594623,0.36178347,1898.1317,2960.0648
418.47507,1.558947,0.36229107,1905.1847,2970.0819
419.4393,1.5584266,0.36280283,1912.272,2980.1355
420.40354,1.5578774,0.36330986,1919.3466,2990.1068
421.36777,1.5573375,0.36380839,1926.3886,3000.0372
422.33201,1.5567778,0.36429778,1933.3941,3009.865
423.29624,1.5562419,0.36478049,1940.3759,3019.6942
424.26047,1.5556915,0.36526752,1947.3925,3029.5419
425.22471,1.5551614,0.36575523,1954.4245,3039.4455
426.18894,1.5546148,0.36625731,1961.5453,3049.4473
427.15317,1.554069,0.36676657,1968.7168,3059.5218
428.11741,1.5534937,0.36727151,1975.8774,3069.5132
429.08164,1.5529281,0.36776856,1983.0077,3079.4683
430.04587,1.5523432,0.36825857,1990.1119,3089.3368
431.01011,1.5517746,0.36873999,1997.1816,3099.1758
431.97434,1.5512155,0.36922634,2004.2897,3109.0852
432.93857,1.5506382,0.36971408,2011.4171,3118.9802
433.90281,1.550087,0.37021419,2018.6238,3129.0425
434.86704,1.5494986,0.37072346,2025.8926,3139.1177
435.83128,1.5489178,0.37123078,2033.1632,3149.2026
436.79551,1.5483273,0.37173262,2040.4159,3159.2317
437.75974,1.5477247,0.37223786,2047.6995,3169.2752
438.72398,1.5471247,0.37274367,2054.9985,3179.339
439.68821,1.5465022,0.3732444,2062.2817,3189.3233
440.65244,1.5458848,0.37373671,2069.5304,3199.2556
441.61668,1.5452689,0.37422368,2076.7614,3209.1547
442.58091,1.5446366,0.37469721,2083.9294,3218.9136
443.54514,1.5440359,0.37517545,2091.1351,3228.7878
444.50938,1.5434281,0.37565514,2098.3606,3238.6687
445.47361,1.5428197,0.37614477,2105.6533,3248.6435
446.43785,1.5422056,0.37664413,2113.0125,3258.6997
447.40208,1.5415939,0.37713999,2120.3641,3268.7404
448.36631,1.540956,0.37763944,2127.748,3278.7661
449.33055,1.5403352,0.37813935,2135.1465,3288.8413
450.29478,1.5396986,0.37864146,2142.5696,3298.9114
451.25901,1.5390503,0.37913814,2149.9741,3308.9184
452.22325,1.5384067,0.37963668,2157.4012,3318.9605
453.18748,1.5377594,0.38013303,2164.8279,3328.9845
454.15171,1.5371053,0.38062513,2172.2424,3338.9653
455.11595,1.536445,0.38111371,2179.6486,3348.9103
456.08018,1.5357919,0.38160589,2187.0874,3358.9111
457.04442,1.535135,0.38209775,2194.5362,3368.9094
