beta_blue,Cv_blue_over_kB,beta_red,Cv_red_over_kB
1.049742710120068523e+01,7.444608567208271799e-01,1.063464837049742684e+01,6.469719350073854791e-02
1.053173241852487152e+01,7.435745937961594221e-01,1.066895368782161313e+01,6.381093057607083174e-02
1.056603773584905603e+01,7.426883308714918863e-01,1.070325900514579764e+01,6.292466765140325435e-02
1.060034305317324232e+01,7.409158050221565928e-01,1.073756432246998216e+01,6.203840472673553819e-02
1.063464837049742684e+01,7.391432791728212992e-01,1.077186963979416845e+01,6.115214180206796080e-02
1.066895368782161313e+01,7.373707533234860056e-01,1.080617495711835296e+01,6.026587887740024463e-02
1.070325900514579764e+01,7.355982274741507121e-01,1.084048027444253925e+01,5.937961595273266724e-02
1.073756432246998216e+01,7.347119645494830653e-01,1.087478559176672377e+01,5.849335302806495107e-02
1.077186963979416845e+01,7.338257016248151965e-01,1.090909090909090828e+01,5.760709010339737368e-02
1.080617495711835296e+01,7.320531757754801250e-01,1.094339622641509457e+01,5.672082717872965751e-02
1.084048027444253925e+01,7.302806499261446094e-01,1.097770154373927909e+01,5.583456425406208012e-02
1.087478559176672377e+01,7.285081240768095379e-01,1.101200686106346538e+01,5.494830132939436396e-02
1.090909090909090828e+01,7.267355982274740223e-01,1.104631217838764989e+01,5.406203840472678657e-02
1.094339622641509457e+01,7.249630723781389507e-01,1.108061749571183618e+01,5.317577548005907040e-02
1.097770154373927909e+01,7.231905465288034351e-01,1.111492281303602070e+01,5.228951255539149301e-02
1.101200686106346538e+01,7.214180206794683636e-01,1.114922813036020521e+01,5.228951255539149301e-02
1.104631217838764989e+01,7.196454948301328480e-01,1.118353344768439150e+01,5.051698670605606761e-02
1.108061749571183618e+01,7.187592319054653123e-01,1.121783876500857602e+01,5.051698670605606761e-02
1.111492281303602070e+01,7.169867060561299077e-01,1.125214408233276231e+01,5.051698670605606761e-02
1.114922813036020521e+01,7.152141802067947252e-01,1.128644939965694682e+01,4.874446085672077406e-02
1.118353344768439150e+01,7.134416543574593206e-01,1.132075471698113134e+01,4.874446085672077406e-02
1.121783876500857602e+01,7.116691285081241380e-01,1.135506003430531763e+01,4.697193500738548050e-02
1.125214408233276231e+01,7.098966026587887335e-01,1.138936535162950214e+01,4.697193500738548050e-02
1.128644939965694682e+01,7.081240768094534399e-01,1.142367066895368843e+01,4.608567208271789617e-02
1.132075471698113134e+01,7.063515509601181463e-01,1.145797598627787295e+01,4.519940915805018694e-02
1.135506003430531763e+01,7.045790251107828528e-01,1.149228130360205746e+01,4.519940915805018694e-02
1.138936535162950214e+01,7.028064992614475592e-01,1.152658662092624375e+01,4.342688330871489338e-02
1.142367066895368843e+01,7.001477104874445079e-01,1.156089193825042827e+01,4.342688330871489338e-02
1.145797598627787295e+01,6.983751846381093253e-01,1.159519725557461456e+01,4.342688330871489338e-02
1.149228130360205746e+01,6.957163958641063850e-01,1.162950257289879907e+01,4.254062038404730905e-02
1.152658662092624375e+01,6.939438700147709804e-01,1.166380789022298536e+01,4.165435745937959983e-02
1.156089193825042827e+01,6.921713441654357979e-01,1.169811320754716988e+01,4.165435745937959983e-02
1.159519725557461456e+01,6.903988183161003933e-01,1.173241852487135439e+01,3.988183161004430627e-02
1.162950257289879907e+01,6.886262924667652108e-01,1.176672384219554068e+01,3.988183161004430627e-02
1.166380789022298536e+01,6.868537666174298062e-01,1.180102915951972520e+01,3.988183161004430627e-02
1.169811320754716988e+01,6.850812407680946237e-01,1.183533447684391149e+01,3.810930576070901271e-02
1.173241852487135439e+01,6.833087149187592191e-01,1.186963979416809600e+01,3.810930576070901271e-02
1.176672384219554068e+01,6.815361890694239255e-01,1.190394511149228052e+01,3.810930576070901271e-02
1.180102915951972520e+01,6.779911373707533384e-01,1.193825042881646681e+01,3.633677991137371915e-02
1.183533447684391149e+01,6.762186115214180449e-01,1.197255574614065132e+01,3.633677991137371915e-02
1.186963979416809600e+01,6.744460856720827513e-01,1.200686106346483761e+01,3.633677991137371915e-02
1.190394511149228052e+01,6.726735598227474577e-01,1.204116638078902213e+01,3.545051698670600299e-02
1.193825042881646681e+01,6.709010339734121642e-01,1.207547169811320842e+01,3.456425406203842560e-02
1.197255574614065132e+01,6.691285081240768706e-01,1.210977701543739293e+01,3.456425406203842560e-02
1.200686106346483761e+01,6.664697193500738193e-01,1.214408233276157745e+01,3.367799113737070943e-02
1.204116638078902213e+01,6.638109305760707679e-01,1.217838765008576374e+01,3.279172821270313204e-02
1.207547169811320842e+01,6.620384047267356964e-01,1.221269296740994825e+01,3.279172821270313204e-02
