beta,Cv_no_GP_over_kB,Cv_GP_over_kB,phase_delta,interference_no_GP,interference_GP,path_ratio,splitting_no_GP,splitting_GP
9.891783567134269095e-01,5.000015314106575071e-01,4.999983160959263206e-01,1.888733058270416487e-01,9.911081989955938809e-01,8.891801004406119091e-03,4.509018036072143937e-02,1.045090180360721543e+00,9.549098196392785676e-01
1.028456913827655361e+00,5.000030429504065399e-01,4.999968844523551281e-01,2.014648595488444383e-01,9.898872518795931441e-01,1.011274812040685589e-02,4.809619238476953856e-02,1.048096192384769587e+00,9.519038076152304129e-01
1.067735470941883813e+00,5.000057024571719078e-01,4.999942630623933626e-01,2.140564132706472278e-01,9.885886355253756808e-01,1.141136447462426373e-02,5.110220440881763776e-02,1.051102204408817631e+00,9.488977955911823692e-01
1.107014028056112265e+00,5.000101801103872257e-01,4.999898035485725867e-01,2.266479669924499896e-01,9.872125558222408781e-01,1.278744417775906639e-02,5.410821643286573002e-02,1.054108216432865675e+00,9.458917835671343255e-01
1.146292585170340717e+00,5.000174140463219397e-01,4.999825782224068260e-01,2.392395207142527791e-01,9.857592309409246578e-01,1.424076905907534218e-02,5.711422845691382921e-02,1.057114228456913718e+00,9.428857715430861708e-01
1.185571142284569168e+00,5.000286715962433126e-01,4.999713247433971164e-01,2.518310744360555686e-01,9.842288912990095895e-01,1.577110870099041051e-02,6.012024048096192147e-02,1.060120240480961984e+00,9.398797595190381271e-01
1.224849699398797620e+00,5.000456091887900412e-01,4.999543890549727476e-01,2.644226281578583304e-01,9.826217795243938902e-01,1.737822047560610983e-02,6.312625250501001373e-02,1.063126252505010028e+00,9.368737474949899724e-01
1.264128256513026072e+00,5.000703277000112523e-01,4.999296713929803904e-01,2.770141818796610922e-01,9.809381504168233068e-01,1.906184958317663769e-02,6.613226452905811292e-02,1.066132264529058071e+00,9.338677354709419287e-01
1.303406813627254524e+00,5.001054200093569824e-01,4.998945793716464969e-01,2.896057356014638540e-01,9.791782709074943192e-01,2.082172909250573634e-02,6.913827655310621212e-02,1.069138276553106115e+00,9.308617234468937740e-01
1.342685370741483197e+00,5.001540078535722245e-01,4.998459914209651966e-01,3.021972893232666713e-01,9.773424200167328824e-01,2.265757998326706213e-02,7.214428857715431131e-02,1.072144288577154381e+00,9.278557114228457303e-01
1.381963927855711649e+00,5.002197656484809185e-01,4.997802330778423618e-01,3.147888430450694330e-01,9.754308888097582564e-01,2.456911119024179913e-02,7.515030060120241051e-02,1.075150300601202424e+00,9.248496993987975756e-01
1.421242484969940101e+00,5.003069296729750759e-01,4.996930678141961457e-01,3.273803967668721948e-01,9.734439803505344768e-01,2.655601964946552318e-02,7.815631262525049583e-02,1.078156312625250468e+00,9.218436873747495319e-01
1.460521042084168553e+00,5.004202917941994455e-01,4.995797032532878212e-01,3.399719504886750121e-01,9.713820096537224558e-01,2.861799034627759974e-02,8.116232464929859503e-02,1.081162324649298512e+00,9.188376753507013772e-01
1.499799599198397004e+00,5.005651776859697533e-01,4.994348128281263510e-01,3.525635042104777739e-01,9.692453036347350448e-01,3.075469636526501072e-02,8.416833667334669422e-02,1.084168336673346777e+00,9.158316633266533335e-01
1.539078156312625456e+00,5.007474101979827452e-01,4.992525722168759117e-01,3.651550579322805357e-01,9.670342010579064951e-01,3.296579894209344941e-02,8.717434869739479342e-02,1.087174348697394821e+00,9.128256513026051788e-01
1.578356713426853908e+00,5.009732591324009832e-01,4.990267092831728868e-01,3.777466116540832974e-01,9.647490524827834202e-01,3.525094751721657982e-02,9.018036072144287874e-02,1.090180360721442865e+00,9.098196392785571351e-01
1.617635270541082360e+00,5.012493791542922406e-01,4.987505657742641318e-01,3.903381653758861147e-01,9.623902202085443669e-01,3.760977979145568861e-02,9.318637274549097793e-02,1.093186372745490909e+00,9.068136272545089804e-01
1.656913827655310811e+00,5.015827378946824400e-01,4.984171686942858170e-01,4.029297190976888765e-01,9.599580782165597626e-01,4.004192178344029296e-02,9.619238476953907713e-02,1.096192384769539174e+00,9.038076152304609368e-01
1.696192384769539263e+00,5.019805365026360766e-01,4.980193090704807535e-01,4.155212728194916383e-01,9.574530121110989000e-01,4.254698788890115546e-02,9.919839679358717632e-02,1.099198396793587218e+00,9.008016032064127820e-01
1.735470941883767715e+00,5.024501249771838873e-01,4.975496257552082247e-01,4.281128265412944556e-01,9.548754190581938417e-01,4.512458094180610280e-02,1.022044088176352755e-01,1.102204408817635262e+00,8.977955911823647384e-01
1.774749498997996167e+00,5.029989145779243387e-01,4.970006919394069356e-01,4.407043802630972174e-01,9.522257077226716770e-01,4.777429227732837846e-02,1.052104208416833608e-01,1.105210420841683305e+00,8.947895791583166947e-01
1.814028056112224618e+00,5.036342894944858539e-01,4.963651021740156377e-01,4.532959339848999791e-01,9.495042982033610190e-01,5.049570179663898095e-02,1.082164328657314600e-01,1.108216432865731349e+00,8.917835671342685400e-01
1.853306613226453070e+00,5.043635197703407735e-01,4.956355578840889176e-01,4.658874877067027409e-01,9.467116219664892807e-01,5.328837803351077484e-02,1.112224448897795592e-01,1.111222444889779615e+00,8.887775551102203853e-01
1.892585170340681522e+00,5.051936772455843938e-01,4.948049495960278876e-01,4.784790414285055582e-01,9.438481217772742848e-01,5.615187822272577067e-02,1.142284569138276584e-01,1.114228456913827658e+00,8.857715430861723416e-01
1.931863727454909974e+00,5.061315560242610756e-01,4.938664343632845344e-01,4.910705951503083200e-01,9.409142516297268610e-01,5.908574837027308346e-02,1.172344689378757437e-01,1.117234468937875702e+00,8.827655310621242979e-01
