sweep,chain_0,chain_1,chain_2,chain_3
27000,-0.7604576796470306,-1.0563027198745034,-1.1453675560364072,-1.1840476461833602
27100,-0.8885504244494127,-1.2058222948739752,-1.0324004932910444,-0.9664118377199216
27200,-0.9652669483869393,-1.114262847819006,-1.1585055482415032,-1.092673811324303
27300,-0.9975386908386018,-0.8023301790168754,-0.9542272540059005,-1.0788342397635438
27400,-0.9351941120565417,-1.0498355712959848,-1.1063028031506088,-1.065975993058701
27500,-0.7875275060890707,-0.9769102298573955,-1.0878899640265707,-1.0874190862606132
27600,-1.1900679700309367,-1.0914685634902588,-1.0752776528267765,-1.1915061637772095
27700,-1.0758742599220588,-1.2037832241632538,-1.1303881909859783,-1.0106050666221444
27800,-1.0474164341608783,-0.9450934093132229,-0.9202785925666275,-1.0127072004513553
27900,-0.9542634189627988,-1.121070334551693,-1.0293060422578326,-1.2365171220205267
28000,-1.0826603031744826,-1.1428857979278884,-1.046614119075893,-1.2241358462126106
28100,-0.9177301744883365,-1.1649919522984442,-1.0379637793379317,-1.0084558355277873
28200,-1.0677209440674384,-1.0851353634341143,-1.2868148559660264,-0.8332047232527826
28300,-0.9224810810235065,-0.7930006967042732,-0.9936270970145296,-1.235576791806144
28400,-1.139342462084972,-0.9249371089085577,-0.8470241074013048,-1.2369868896057097
28500,-1.057023986959617,-1.0645725805444064,-1.2320875705421634,-1.039898827059715
28600,-1.2789306453272968,-0.8687980877519768,-0.9832822884068162,-0.8751394642071179
28700,-1.150996489128304,-1.181111227288267,-0.9437123022889268,-0.8103175094101758
28800,-0.9818151404050988,-1.044315673264613,-1.15129555578958,-0.8322517721108895
28900,-1.1307937952666698,-0.9017246439960581,-1.1516984003342363,-1.2058957443016438
29000,-1.1954179932324136,-1.0236234412016438,-1.2117159044753463,-1.07871206514545
29100,-1.191231712185482,-1.1762383194780388,-0.941799687969318,-0.7957314407359157
29200,-1.116044792936375,-0.9321136493347564,-1.1756737512078752,-1.1135200740406357
29300,-1.1650913306488917,-1.1234386703718457,-0.983470684057648,-1.1591973272279656
29400,-1.0508183271418838,-1.1867098842550599,-1.1771248295919827,-1.1808150119355731
29500,-0.9646889454363419,-1.0123889738452998,-1.0959280730206176,-0.9158903522517248
29600,-1.0509409738222502,-0.9781584104202612,-0.9098440292253002,-1.1425920092423083
29700,-1.2176426116311543,-0.8929794405745498,-0.9198657378866197,-1.0960819484342272
29800,-1.1261689081693531,-1.1948494030011447,-0.9209908722965239,-1.1311026529256336
29900,-1.099273571006328,-1.0729349925866054,-1.2070332400692314,-1.1584414373319603
30000,-1.09191559671789,-1.1114183818251095,-0.9849799594098756,-0.9464455277168078
30100,-0.9653132378979843,-1.1437844348996742,-0.9892375396196235,-1.1830288667041748
30200,-1.1618863973105436,-0.6998018644390662,-1.0806222882546135,-0.9693075864429395
30300,-0.7102899505601665,-1.0932397067949278,-1.2271486083038659,-0.8033716510221953
30400,-1.101630702734579,-0.9717907157013814,-0.9430930624171414,-1.0167632359755336
30500,-1.1941601380862046,-0.9057263318050139,-0.9739738678453007,-1.1892386024872217
30600,-1.0108940722548891,-1.0484378559624754,-1.1084153503948257,-1.0025637144135946
30700,-1.0999155161320628,-0.8413858515226207,-0.9291990010867747,-0.9875855823894211
30800,-1.0786309632949604,-1.0111688153343448,-1.1415436027862715,-0.8400288303282939
30900,-1.133844394591321,-1.0853435128551552,-1.0316085673291029,-1.094882357874579
31000,-1.0188197765984137,-1.0402354550339754,-0.9580907239731842,-0.931113693679551
