window,center,x,pooled_count
1,-1.35,0.9780000000000002,0
1,-1.35,0.9900000000000002,0
1,-1.35,1.0020000000000002,0
1,-1.35,1.014,0
1,-1.35,1.0259999999999998,0
1,-1.35,1.0379999999999998,0
1,-1.35,1.0499999999999998,0
1,-1.35,1.0619999999999998,0
1,-1.35,1.0739999999999998,0
1,-1.35,1.0859999999999999,0
1,-1.35,1.0979999999999999,0
1,-1.35,1.1099999999999999,0
1,-1.35,1.1219999999999999,0
1,-1.35,1.134,0
1,-1.35,1.146,0
1,-1.35,1.158,0
1,-1.35,1.17,0
1,-1.35,1.182,0
1,-1.35,1.194,0
1,-1.35,1.206,0
1,-1.35,1.218,0
1,-1.35,1.23,0
1,-1.35,1.242,0
1,-1.35,1.254,0
1,-1.35,1.266,0
1,-1.35,1.278,0
1,-1.35,1.29,0
1,-1.35,1.302,0
1,-1.35,1.314,0
1,-1.35,1.326,0
1,-1.35,1.338,0
1,-1.35,1.35,0
1,-1.35,1.362,0
1,-1.35,1.374,0
1,-1.35,1.3860000000000001,0
1,-1.35,1.3980000000000001,0
1,-1.35,1.4100000000000001,0
1,-1.35,1.4220000000000002,0
1,-1.35,1.4340000000000002,0
1,-1.35,1.4460000000000002,0
1,-1.35,1.4580000000000002,0
1,-1.35,1.4700000000000002,0
1,-1.35,1.4820000000000002,0
1,-1.35,1.4940000000000002,0
1,-1.35,1.5060000000000002,0
1,-1.35,1.5180000000000002,0
1,-1.35,1.53,0
1,-1.35,1.5419999999999998,0
1,-1.35,1.5539999999999998,0
1,-1.35,1.5659999999999998,0
1,-1.35,1.5779999999999998,0
1,-1.35,1.5899999999999999,0
1,-1.35,1.6019999999999999,0
1,-1.35,1.6139999999999999,0
1,-1.35,1.626,0
1,-1.35,1.638,0
1,-1.35,1.65,0
1,-1.35,1.662,0
1,-1.35,1.674,0
1,-1.35,1.686,0
1,-1.35,1.698,0
1,-1.35,1.71,0
1,-1.35,1.722,0
1,-1.35,1.734,0
1,-1.35,1.746,0
1,-1.35,1.758,0
1,-1.35,1.77,0
1,-1.35,1.782,0
1,-1.35,1.794,0
2,-1.2,-1.794,0
2,-1.2,-1.782,0
2,-1.2,-1.77,0
2,-1.2,-1.758,0
2,-1.2,-1.746,0
2,-1.2,-1.734,0
2,-1.2,-1.722,0
