T_K,time_au,time_fs,DVR_flux_au,analytic_flux_au
230.0,9800.0,237.05066140000002,1.1247138801583092e-09,1.1247140374971768e-09
230.0,9900.0,239.46954570000003,1.1247138833988407e-09,1.1247140374971768e-09
230.0,10000.0,241.88843000000003,1.124713886539564e-09,1.1247140374971768e-09
240.0,6000.0,145.133058,1.7114411357172345e-09,1.7114415724378793e-09
240.0,6100.0,147.5519423,1.7114411508124274e-09,1.7114415724378793e-09
240.0,6200.0,149.9708266,1.711441165182794e-09,1.7114415724378793e-09
240.0,6300.0,152.3897109,1.7114411788085228e-09,1.7114415724378793e-09
240.0,6400.0,154.8085952,1.7114411917088767e-09,1.7114415724378793e-09
240.0,6500.0,157.22747950000002,1.7114412039459907e-09,1.7114415724378793e-09
240.0,6600.0,159.64636380000002,1.7114412155931164e-09,1.7114415724378793e-09
240.0,6700.0,162.06524810000002,1.7114412267055594e-09,1.7114415724378793e-09
240.0,6800.0,164.48413240000002,1.711441237314498e-09,1.7114415724378793e-09
240.0,6900.0,166.90301670000002,1.7114412474387968e-09,1.7114415724378793e-09
240.0,7000.0,169.321901,1.7114412570989234e-09,1.7114415724378793e-09
240.0,7100.0,171.7407853,1.7114412663221706e-09,1.7114415724378793e-09
240.0,7200.0,174.1596696,1.7114412751391912e-09,1.7114415724378793e-09
240.0,7300.0,176.5785539,1.7114412835781089e-09,1.7114415724378793e-09
240.0,7400.0,178.9974382,1.711441291661622e-09,1.7114415724378793e-09
240.0,7500.0,181.4163225,1.7114412994080543e-09,1.7114415724378793e-09
240.0,7600.0,183.8352068,1.7114413068340614e-09,1.7114415724378793e-09
240.0,7700.0,186.2540911,1.7114413139564341e-09,1.7114415724378793e-09
240.0,7800.0,188.6729754,1.7114413207921482e-09,1.7114415724378793e-09
240.0,7900.0,191.09185970000001,1.7114413273574284e-09,1.7114415724378793e-09
240.0,8000.0,193.51074400000002,1.7114413336669795e-09,1.7114415724378793e-09
240.0,8100.0,195.92962830000002,1.7114413397339241e-09,1.7114415724378793e-09
240.0,8200.0,198.34851260000002,1.7114413455702752e-09,1.7114415724378793e-09
240.0,8300.0,200.76739690000002,1.7114413511874044e-09,1.7114415724378793e-09
240.0,8400.0,203.18628120000002,1.7114413565962422e-09,1.7114415724378793e-09
240.0,8500.0,205.60516550000003,1.7114413618072005e-09,1.7114415724378793e-09
240.0,8600.0,208.0240498,1.7114413668300356e-09,1.7114415724378793e-09
240.0,8700.0,210.4429341,1.7114413716738061e-09,1.7114415724378793e-09
240.0,8800.0,212.8618184,1.7114413763469477e-09,1.7114415724378793e-09
240.0,8900.0,215.2807027,1.7114413808573865e-09,1.7114415724378793e-09
240.0,9000.0,217.699587,1.7114413852126318e-09,1.7114415724378793e-09
240.0,9100.0,220.1184713,1.711441389419801e-09,1.7114415724378793e-09
240.0,9200.0,222.5373556,1.7114413934856175e-09,1.7114415724378793e-09
240.0,9300.0,224.9562399,1.7114413974164096e-09,1.7114415724378793e-09
240.0,9400.0,227.37512420000002,1.7114414012181344e-09,1.7114415724378793e-09
240.0,9500.0,229.79400850000002,1.7114414048964078e-09,1.7114415724378793e-09
240.0,9600.0,232.21289280000002,1.7114414084565394e-09,1.7114415724378793e-09
240.0,9700.0,234.63177710000002,1.7114414119035638e-09,1.7114415724378793e-09
240.0,9800.0,237.05066140000002,1.71144141524225e-09,1.7114415724378793e-09
240.0,9900.0,239.46954570000003,1.7114414184771187e-09,1.7114415724378793e-09
240.0,10000.0,241.88843000000003,1.7114414216124603e-09,1.7114415724378793e-09
260.0,6000.0,145.133058,3.718948422794428e-09,3.7189488577111893e-09
260.0,6100.0,147.5519423,3.7189484377928017e-09,3.7189488577111893e-09
260.0,6200.0,149.9708266,3.718948452099014e-09,3.7189488577111893e-09
260.0,6300.0,152.3897109,3.718948465647327e-09,3.7189488577111893e-09
260.0,6400.0,154.8085952,3.718948478446247e-09,3.7189488577111893e-09
260.0,6500.0,157.22747950000002,3.7189484905747974e-09,3.7189488577111893e-09
260.0,6600.0,159.64636380000002,3.718948502126373e-09,3.7189488577111893e-09
260.0,6700.0,162.06524810000002,3.718948513163208e-09,3.7189488577111893e-09
260.0,6800.0,164.48413240000002,3.718948523710262e-09,3.7189488577111893e-09
260.0,6900.0,166.90301670000002,3.7189485337766707e-09,3.7189488577111893e-09
260.0,7000.0,169.321901,3.7189485433778557e-09,3.7189488577111893e-09
260.0,7100.0,171.7407853,3.7189485525421657e-09,3.7189488577111893e-09
260.0,7200.0,174.1596696,3.71894856130383e-09,3.7189488577111893e-09
260.0,7300.0,176.5785539,3.7189485696931804e-09,3.7189488577111893e-09
260.0,7400.0,178.9974382,3.718948577732495e-09,3.7189488577111893e-09
260.0,7500.0,181.4163225,3.718948585438242e-09,3.7189488577111893e-09
260.0,7600.0,183.8352068,3.718948592825546e-09,3.7189488577111893e-09
260.0,7700.0,186.2540911,3.7189485999107967e-09,3.7189488577111893e-09
260.0,7800.0,188.6729754,3.718948606711375e-09,3.7189488577111893e-09
260.0,7900.0,191.09185970000001,3.7189486132439493e-09,3.7189488577111893e-09
260.0,8000.0,193.51074400000002,3.7189486195232473e-09,3.7189488577111893e-09
260.0,8100.0,195.92962830000002,3.7189486255620376e-09,3.7189488577111893e-09
260.0,8200.0,198.34851260000002,3.718948631371901e-09,3.7189488577111893e-09
260.0,8300.0,200.76739690000002,3.718948636963956e-09,3.7189488577111893e-09
260.0,8400.0,203.18628120000002,3.7189486423490697e-09,3.7189488577111893e-09
260.0,8500.0,205.60516550000003,3.7189486475376755e-09,3.7189488577111893e-09
260.0,8600.0,208.0240498,3.7189486525395084e-09,3.7189488577111893e-09
260.0,8700.0,210.4429341,3.7189486573635406e-09,3.7189488577111893e-09
260.0,8800.0,212.8618184,3.7189486620180743e-09,3.7189488577111893e-09
260.0,8900.0,215.2807027,3.7189486665109244e-09,3.7189488577111893e-09
260.0,9000.0,217.699587,3.7189486708495314e-09,3.7189488577111893e-09
260.0,9100.0,220.1184713,3.7189486750409647e-09,3.7189488577111893e-09
260.0,9200.0,222.5373556,3.718948679091911e-09,3.7189488577111893e-09
260.0,9300.0,224.9562399,3.718948683008655e-09,3.7189488577111893e-09
260.0,9400.0,227.37512420000002,3.718948686797094e-09,3.7189488577111893e-09
260.0,9500.0,229.79400850000002,3.7189486904627877e-09,3.7189488577111893e-09
260.0,9600.0,232.21289280000002,3.7189486940109926e-09,3.7189488577111893e-09
260.0,9700.0,234.63177710000002,3.7189486974467e-09,3.7189488577111893e-09
260.0,9800.0,237.05066140000002,3.718948700774641e-09,3.7189488577111893e-09
260.0,9900.0,239.46954570000003,3.7189487039992965e-09,3.7189488577111893e-09
260.0,10000.0,241.88843000000003,3.7189487071249288e-09,3.7189488577111893e-09
300.0,6000.0,145.133058,1.4030094215007099e-08,1.4030094647057378e-08
300.0,6100.0,147.5519423,1.4030094229908944e-08,1.4030094647057378e-08
300.0,6200.0,149.9708266,1.4030094244180387e-08,1.4030094647057378e-08
300.0,6300.0,152.3897109,1.4030094257624976e-08,1.4030094647057378e-08
300.0,6400.0,154.8085952,1.4030094270235826e-08,1.4030094647057378e-08
300.0,6500.0,157.22747950000002,1.403009428215377e-08,1.4030094647057378e-08
300.0,6600.0,159.64636380000002,1.4030094293533025e-08,1.4030094647057378e-08
300.0,6700.0,162.06524810000002,1.4030094304451056e-08,1.4030094647057378e-08
300.0,6800.0,164.48413240000002,1.4030094314909773e-08,1.4030094647057378e-08
300.0,6900.0,166.90301670000002,1.4030094324889078e-08,1.4030094647057378e-08
300.0,7000.0,169.321901,1.4030094334392258e-08,1.4030094647057378e-08
300.0,7100.0,171.7407853,1.4030094343453855e-08,1.4030094647057378e-08
300.0,7200.0,174.1596696,1.4030094352120013e-08,1.4030094647057378e-08
300.0,7300.0,176.5785539,1.4030094360427292e-08,1.4030094647057378e-08
300.0,7400.0,178.9974382,1.4030094368395966e-08,1.4030094647057378e-08
300.0,7500.0,181.4163225,1.4030094376036799e-08,1.4030094647057378e-08
300.0,7600.0,183.8352068,1.4030094383360884e-08,1.4030094647057378e-08
300.0,7700.0,186.2540911,1.403009439038421e-08,1.4030094647057378e-08
300.0,7800.0,188.6729754,1.4030094397125924e-08,1.4030094647057378e-08
300.0,7900.0,191.09185970000001,1.4030094403604219e-08,1.4030094647057378e-08
300.0,8000.0,193.51074400000002,1.403009440983391e-08,1.4030094647057378e-08
300.0,8100.0,195.92962830000002,1.4030094415826749e-08,1.4030094647057378e-08
300.0,8200.0,198.34851260000002,1.4030094421593218e-08,1.4030094647057378e-08
300.0,8300.0,200.76739690000002,1.403009442714391e-08,1.4030094647057378e-08
300.0,8400.0,203.18628120000002,1.4030094432489725e-08,1.4030094647057378e-08
300.0,8500.0,205.60516550000003,1.4030094437641321e-08,1.4030094647057378e-08
300.0,8600.0,208.0240498,1.4030094442608478e-08,1.4030094647057378e-08
300.0,8700.0,210.4429341,1.4030094447399983e-08,1.4030094647057378e-08
300.0,8800.0,212.8618184,1.403009445202385e-08,1.4030094647057378e-08
300.0,8900.0,215.2807027,1.4030094456487674e-08,1.4030094647057378e-08
300.0,9000.0,217.699587,1.4030094460798775e-08,1.4030094647057378e-08
300.0,9100.0,220.1184713,1.4030094464964194e-08,1.4030094647057378e-08
300.0,9200.0,222.5373556,1.4030094468990585e-08,1.4030094647057378e-08
300.0,9300.0,224.9562399,1.4030094472884157e-08,1.4030094647057378e-08
300.0,9400.0,227.37512420000002,1.4030094476650694e-08,1.4030094647057378e-08
300.0,9500.0,229.79400850000002,1.4030094480295677e-08,1.4030094647057378e-08
300.0,9600.0,232.21289280000002,1.4030094483824228e-08,1.4030094647057378e-08
300.0,9700.0,234.63177710000002,1.4030094487241284e-08,1.4030094647057378e-08
300.0,9800.0,237.05066140000002,1.4030094490551499e-08,1.4030094647057378e-08
300.0,9900.0,239.46954570000003,1.4030094493759267e-08,1.4030094647057378e-08
300.0,10000.0,241.88843000000003,1.403009449686884e-08,1.4030094647057378e-08
