T_K,imaginary_time_fraction,x
230.0,0.4140625,-0.23121228742166697
230.0,0.41796875,-0.23441363828175774
230.0,0.421875,-0.23747436379739165
230.0,0.42578125,-0.2403932166774152
230.0,0.4296875,-0.2431690258190369
230.0,0.43359375,-0.2458006942082784
230.0,0.4375,-0.24828719687280276
230.0,0.44140625,-0.2506275788970458
230.0,0.4453125,-0.25282095350875794
230.0,0.44921875,-0.25486650024526963
230.0,0.453125,-0.2567634632070386
230.0,0.45703125,-0.2585111494053212
230.0,0.4609375,-0.26010892721012846
230.0,0.46484375,-0.26155622490398567
230.0,0.46875,-0.26285252934641584
230.0,0.47265625,-0.2639973847534944
230.0,0.4765625,-0.2649903915962982
230.0,0.48046875,-0.2658312056215704
230.0,0.484375,-0.2665195369974554
230.0,0.48828125,-0.2670551495867229
230.0,0.4921875,-0.2674378603494794
230.0,0.49609375,-0.2676675388769783
230.0,0.5,-0.2677441070577576
230.0,0.50390625,-0.2676675388769783
230.0,0.5078125,-0.2674378603494794
230.0,0.51171875,-0.2670551495867229
230.0,0.515625,-0.26651953699745545
230.0,0.51953125,-0.2658312056215704
230.0,0.5234375,-0.2649903915962982
230.0,0.52734375,-0.2639973847534944
230.0,0.53125,-0.26285252934641584
230.0,0.53515625,-0.2615562249039857
230.0,0.5390625,-0.26010892721012846
230.0,0.54296875,-0.25851114940532127
230.0,0.546875,-0.2567634632070386
230.0,0.55078125,-0.25486650024526963
230.0,0.5546875,-0.252820953508758
230.0,0.55859375,-0.25062757889704584
230.0,0.5625,-0.24828719687280276
230.0,0.56640625,-0.2458006942082784
230.0,0.5703125,-0.2431690258190369
230.0,0.57421875,-0.24039321667741523
230.0,0.578125,-0.23747436379739165
230.0,0.58203125,-0.23441363828175774
230.0,0.5859375,-0.231212287421667
230.0,0.58984375,-0.2278716368377777
230.0,0.59375,-0.22439309265133192
230.0,0.59765625,-0.22077814367261714
230.0,0.6015625,-0.21702836359335195
230.0,0.60546875,-0.2131454131686271
230.0,0.609375,-0.20913104237313607
230.0,0.61328125,-0.2049870925155427
230.0,0.6171875,-0.2007154982939878
230.0,0.62109375,-0.19631828977492763
230.0,0.625,-0.1917975942767527
230.0,0.62890625,-0.1871556381389671
230.0,0.6328125,-0.18239474835713054
230.0,0.63671875,-0.17751735406330052
230.0,0.640625,-0.17252598783137654
230.0,0.64453125,-0.16742328678655705
230.0,0.6484375,-0.16221199349809867
230.0,0.65234375,-0.15689495663472694
230.0,0.65625,-0.15147513136240418
230.0,0.66015625,-0.14595557946474372
230.0,0.6640625,-0.1403394691671553
230.0,0.66796875,-0.13463007464685742
230.0,0.671875,-0.12883077521218197
230.0,0.67578125,-0.1229450541361431
230.0,0.6796875,-0.11697649713104075
230.0,0.68359375,-0.11092879045291981
230.0,0.6875,-0.10480571862699538
230.0,0.69140625,-0.09861116178767766
230.0,0.6953125,-0.09234909262956137
230.0,0.69921875,-0.08602357296866033
230.0,0.703125,-0.07963874991625537
230.0,0.70703125,-0.07319885167092081
230.0,0.7109375,-0.06670818293759458
230.0,0.71484375,-0.06017111998589734
230.0,0.71875,-0.05359210536325031
230.0,0.72265625,-0.04697564228164138
230.0,0.7265625,-0.04032628870009445
230.0,0.73046875,-0.03364865112795984
230.0,0.734375,-0.0269473781770154
230.0,0.73828125,-0.020227153892994742
230.0,0.7421875,-0.013492690899514978
230.0,0.74609375,-0.00674872338939192
230.0,0.75,-5.0516686534130354e-17
230.0,0.75390625,0.006748723389391819
230.0,0.7578125,0.01349269089951488
230.0,0.76171875,0.02022715389299464
230.0,0.765625,0.0269473781770153
230.0,0.76953125,0.03364865112795974
230.0,0.7734375,0.04032628870009435
230.0,0.77734375,0.04697564228164128
230.0,0.78125,0.05359210536325021
230.0,0.78515625,0.06017111998589724
230.0,0.7890625,0.06670818293759448
230.0,0.79296875,0.07319885167092072
230.0,0.796875,0.07963874991625526
230.0,0.80078125,0.08602357296866024
230.0,0.8046875,0.09234909262956127
