T_K,T_over_Tc,E_star,instanton_action,gaussian_energy_width,exact_flux,classical_TST_flux,thermal_WKB_flux,instanton_flux,exact_over_TST,WKB_over_TST,instanton_over_TST,instanton_over_exact,WKB_over_exact
210.0,0.8440526210389517,0.007124248270827244,14.671214632870022,0.0030782598585451094,4.5399855187100695e-10,3.1204438449254853e-11,4.1949449902425625e-10,5.219005889927085e-10,14.549165901809337,13.44342407271468,16.72520368669449,1.1495644354852355,0.9239996411782516
212.0,0.8520912174297989,0.007260594428209967,14.56918925079499,0.0031223395364936984,4.991742908078507e-10,3.630286594829503e-11,4.6327247758780565e-10,5.862349367634733e-10,13.750272265523282,12.76131967783561,16.14844782773978,1.1744093146598675,0.9280775995856227
214.0,0.860129813820646,0.007398232966231392,14.467163868719958,0.0031666276309320245,5.4833676629462e-10,4.2118728090085696e-11,5.111415304142328e-10,6.584118305319439e-10,13.018834878437193,12.135730436137033,15.632281894260883,1.2007435412021612,0.9321671677576289
216.0,0.8681684102114933,0.007537163884891516,14.365138486644927,0.003211123165643603,6.017838350081333e-10,4.873624732374657e-11,5.634283293827748e-10,7.393782193536628e-10,12.34776717646285,11.560765555870901,15.171012541078502,1.2286442013579009,0.9362636491808721
218.0,0.8762070066023404,0.007677387184190338,14.263113104569895,0.0032558251780025874,6.598307227145016e-10,5.624746295066015e-11,6.204801065479551e-10,8.301944526155509e-10,11.730853057200111,11.031254993531629,14.759678198175642,1.2581930850388168,0.9403625584382299
220.0,0.8842456029931876,0.00781890286412786,14.161087722494862,0.0033007327186613165,7.228106751378998e-10,6.475274432660844e-11,6.826654993120711e-10,9.320477628176992e-10,11.162626119629646,10.54264968089619,14.393949978652852,1.2894770302609055,0.9444596251733973
222.0,0.8922841993840347,0.007961710924704081,14.059062340419828,0.0033458448512478345,7.910756123343315e-10,7.436132047850266e-11,7.503754019415247e-10,1.046267341300314e-09,10.63826741165827,10.09093702361637,14.070047903503577,1.3225882899018393,0.9485507962093442
224.0,0.9003227957748818,0.008105811365918997,13.957036958344798,0.0033911606520729623,8.649967856273984e-10,8.519182558549266e-11,8.240238220493209e-10,1.174341194067372e-09,10.153518599731697,9.672569127214997,13.784669902265257,1.3576249225199148,0.9526322360280692
226.0,0.908361392165729,0.008251204187772615,13.855011576269765,0.0034366792098465605,9.44965436156222e-10,9.737285971966683e-11,9.040487406493876e-10,1.3179349867373624e-09,9.704608028117338,9.284401662353487,13.534931504853125,1.3946912091285009,0.9567003258095146
228.0,0.9163999885565761,0.008397889390264928,13.752986194194733,0.0034823996254025776,1.0313934540817959e-09,1.1104356418965978e-10,9.909129743767822e-10,1.4789131120764411e-09,9.288187583030028,8.923641650085424,13.318314508983992,1.4338980979795457,0.9607516612163768
